id;type;geometry
402;N/A;POINT (11.3420038 44.51365319999999)
403;N/A;POINT (11.3421406 44.514428499999994)
404;N/A;POINT (11.343928599999998 44.4946442)
405;N/A;POINT (11.346086500000002 44.4971685)
406;N/A;POINT (11.345967700000001 44.4965488)
407;N/A;POINT (11.344726550034826 44.49743490005072)
408;N/A;POINT (11.345142199999998 44.4982615)
409;N/A;POINT (11.345260199999998 44.4973458)
410;N/A;POINT (11.345084599999998 44.4967139)
411;N/A;POINT (11.3441624 44.50289119999999)
412;N/A;POINT (11.3422526 44.5017003)
413;N/A;POINT (11.342258099999999 44.49882719999999)
414;N/A;POINT (11.342183 44.4985572)
415;N/A;POINT (11.3419593 44.4977388)
416;N/A;POINT (11.3426976 44.4976547)
417;N/A;POINT (11.341635100000001 44.496612000000006)
418;N/A;POINT (11.3393695 44.496924299999996)
419;N/A;POINT (11.351589700000002 44.502659400000006)
420;N/A;POINT (11.3523086 44.5023625)
421;N/A;POINT (11.351852000000001 44.502188100000005)
422;N/A;POINT (11.3505334 44.50269029999999)
423;N/A;POINT (11.3506555 44.502432199999994)
424;N/A;POINT (11.340541400000001 44.50345920000001)
425;N/A;POINT (11.3364747 44.50408289999999)
426;N/A;POINT (11.3362258 44.5041399)
427;N/A;POINT (11.338161499999998 44.50382369999999)
428;N/A;POINT (11.33767364771346 44.504823043305514)
429;N/A;POINT (11.3387222 44.5037363)
430;N/A;POINT (11.3421738 44.503193)
431;N/A;POINT (11.3376365 44.5026519)
432;N/A;POINT (11.3391329 44.502315599999996)
433;N/A;POINT (11.3374035 44.50214410000001)
434;N/A;POINT (11.339627549989988 44.501462750001394)
435;N/A;POINT (11.339245799983544 44.500655400002394)
436;N/A;POINT (11.342932900000001 44.503073799999996)
437;N/A;POINT (11.3427819 44.50275309999999)
438;N/A;POINT (11.3409291 44.5009981)
439;N/A;POINT (11.3404533 44.501182500000006)
440;N/A;POINT (11.3355776 44.49864319999998)
441;N/A;POINT (11.3349754 44.4995382)
442;N/A;POINT (11.338489499999998 44.499001)
443;N/A;POINT (11.337879549969726 44.498931700002764)
444;N/A;POINT (11.3393576 44.498950100000016)
445;N/A;POINT (11.3386198 44.49930719999998)
446;N/A;POINT (11.338272699999997 44.4985419)
447;N/A;POINT (11.3398434 44.49890380000001)
448;N/A;POINT (11.3396261 44.4995599)
449;N/A;POINT (11.338987699999999 44.49813629999999)
450;N/A;POINT (11.3516392 44.492238399999984)
451;N/A;POINT (11.350872299999999 44.490644199999984)
452;N/A;POINT (11.3503137 44.4899419)
453;N/A;POINT (11.3499935 44.49024479999999)
454;N/A;POINT (11.3500463 44.49280920000001)
455;N/A;POINT (11.3499189 44.49385230000001)
456;N/A;POINT (11.358018203032428 44.48612331295249)
457;N/A;POINT (11.357186599999999 44.49424049999999)
